product_name,vendor_id,store,country,downloads
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,DE,3210099
"Google Docs: Sync, Edit, Share",842842640,apple,DE,441921
"Microsoft Word",586447913,apple,DE,826488
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,DE,3062352
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,DK,174691
"Google Docs: Sync, Edit, Share",842842640,apple,DK,134515
"Microsoft Word",586447913,apple,DK,73793
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,DK,126458
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,DO,42659
"Google Docs: Sync, Edit, Share",842842640,apple,DO,55681
"Microsoft Word",586447913,apple,DO,113464
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,DO,237317
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,DZ,890130
"Google Docs: Sync, Edit, Share",842842640,apple,DZ,11357
"Microsoft Word",586447913,apple,DZ,31370
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,DZ,1689669
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,EC,2078620
"Google Docs: Sync, Edit, Share",842842640,apple,EC,47588
"Microsoft Word",586447913,apple,EC,102950
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,EC,2036160
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,EE,15019
"Google Docs: Sync, Edit, Share",842842640,apple,EE,22287
"Microsoft Word",586447913,apple,EE,8989
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,EE,5064
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,EG,1710865
"Google Docs: Sync, Edit, Share",842842640,apple,EG,53704
"Microsoft Word",586447913,apple,EG,152084
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,EG,3405430
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,ES,2858771
"Google Docs: Sync, Edit, Share",842842640,apple,ES,611751
"Microsoft Word",586447913,apple,ES,326485
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,ES,2823880
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,FI,55867
"Google Docs: Sync, Edit, Share",842842640,apple,FI,65720
"Microsoft Word",586447913,apple,FI,46844
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,FI,32092
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,FR,2998837
"Google Docs: Sync, Edit, Share",842842640,apple,FR,912190
"Microsoft Word",586447913,apple,FR,779734
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,FR,2768983
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,GB,2454412
"Google Docs: Sync, Edit, Share",842842640,apple,GB,1001609
"Microsoft Word",586447913,apple,GB,1300738
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,GB,2351899
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,GH,19686
"Google Docs: Sync, Edit, Share",842842640,apple,GH,4854
"Microsoft Word",586447913,apple,GH,75847
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,GH,137102
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,GR,64056
"Google Docs: Sync, Edit, Share",842842640,apple,GR,26727
"Microsoft Word",586447913,apple,GR,46319
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,GR,83582
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,GT,165672
"Google Docs: Sync, Edit, Share",842842640,apple,GT,28046
"Microsoft Word",586447913,apple,GT,42799
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,GT,364705
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,HK,63242
"Google Docs: Sync, Edit, Share",842842640,apple,HK,127854
"Microsoft Word",586447913,apple,HK,96721
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,HK,33103
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,HR,24523
"Google Docs: Sync, Edit, Share",842842640,apple,HR,18754
"Microsoft Word",586447913,apple,HR,40892
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,HR,34060
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,HU,68229
"Google Docs: Sync, Edit, Share",842842640,apple,HU,45977
"Microsoft Word",586447913,apple,HU,57327
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,HU,54660
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,ID,11151454
"Google Docs: Sync, Edit, Share",842842640,apple,ID,315460
"Microsoft Word",586447913,apple,ID,474663
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,ID,13914831
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,IE,360407
"Google Docs: Sync, Edit, Share",842842640,apple,IE,74470
"Microsoft Word",586447913,apple,IE,80935
"Microsoft Word: Edit Documents",com.microsoft.office.word,google_play,IE,274448
"Google Docs",com.google.android.apps.docs.editors.docs,google_play,IL,604474
